Date,Close,High,Low,Open,Volume,Ticker,MA50,MA200
2022-10-04,143.82958984375,143.9477202186119,142.01817230643195,142.77621059568105,87830100,AAPL,,
2022-10-05,144.1249237060547,145.0897052260287,140.7876052377075,141.83114535247526,79471000,AAPL,,
2022-10-06,143.17002868652344,145.24724014995303,142.96330047252644,143.54412834074384,68402200,AAPL,,
2022-10-07,137.9129638671875,140.87619735207727,137.28291022305208,140.32488726950297,85925600,AAPL,,
2022-10-10,138.23785400390625,139.68501122355408,136.41661224606074,138.23785400390625,74899000,AAPL,,
2022-10-11,136.8202362060547,139.15341644364526,136.0720520706598,137.72593753469053,77033700,AAPL,,
2022-10-12,136.190185546875,138.1787988471096,136.0129899667056,136.96791731761857,70433700,AAPL,,
2022-10-13,140.76792907714844,141.35859601492572,132.28187436958524,132.89224973345455,113224000,AAPL,,
2022-10-14,136.2295684814453,142.27415178693437,136.04251869325435,142.06740859428484,88598000,AAPL,,
2022-10-17,140.19692993164062,140.67930564113678,138.09018646721276,138.87775734642221,85250900,AAPL,,
2022-10-18,141.51611328125,144.42026703642762,138.4249097380949,143.22907894720203,99136600,AAPL,,
2022-10-19,141.62440490722656,142.69746261645687,139.30107889163025,139.488128680181,61758300,AAPL,,
2022-10-20,141.16171264648438,143.62286253921314,140.4332068704366,140.7974672692939,64522000,AAPL,,
2022-10-21,144.98141479492188,145.5524033439164,140.43319980718348,140.6497821885837,86548600,AAPL,,
2022-10-24,147.12753295898438,147.89541049964913,143.73114921809554,144.90265893368223,75981900,AAPL,,
2022-10-25,149.97259521484375,150.12027319083927,147.0389093560302,147.75756076988446,74732300,AAPL,,
2022-10-26,147.02908325195312,149.62805663114864,145.73942824213276,148.61406419672124,88194300,AAPL,,
2022-10-27,142.54981994628906,146.73377520874286,141.8902335075142,145.76900855429128,109180200,AAPL,,
2022-10-28,153.31979370117188,155.05243775655637,145.52287291944214,145.89695747516933,164762400,AAPL,,
2022-10-31,150.9570770263672,151.84309994681692,149.55914577499016,150.77988145527678,97943200,AAPL,,
2022-11-01,148.3088836669922,153.03429437423398,146.8125153766711,152.6700490040681,80379300,AAPL,,
2022-11-02,142.77622985839844,149.80527352264477,142.74669726069857,146.63531118174276,93604600,AAPL,,
